Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13,Role
37,EJG Morgan (ENG/IRE),2006-2019,233,217,32,7348,148,39.71,8053,91.24,13,46,15,,Batsman
13,JE Root (ENG),2013-2019,143,135,21,5856,133*,51.36,6702,87.37,16,33,4,,Batsman
26,IR Bell (ENG),2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6,,Batsman
35,PD Collingwood (ENG),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7,,AllRounder
45,AJ Stewart (ENG),1989-2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13,,WicketKeeper
48,KP Pietersen (ENG/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7,,Batsman
3,ME Trescothick (ENG),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13,,Batsman
4,GA Gooch (ENG),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4,,Batsman
5,AJ Strauss (ENG),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9,,Batsman
9,AJ Lamb (ENG),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8,,Batsman
15,GA Hick (ENG),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10,,Batsman
16,JC Buttler (ENG),2012-2019,142,117,23,3843,150,40.88,3207,119.83,9,20,12,,WicketKeeper
25,NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6,,Batsman
30,DB Vengsarkar (INDIA),1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,,Batsman
35,A Flintoff (ENG/ICC),1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9,,AllRounder
37,JJ Roy (ENG),2015-2019,84,81,2,3381,180,42.79,3148,107.4,9,18,7,,Batsman
43,AN Cook (ENG),2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7,,Batsman
46,DI Gower (ENG),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6,,Batsman
11,JM Bairstow (ENG),2011-2019,74,68,8,2861,141*,47.68,2749,104.07,9,11,5,,WicketKeeper
13,IJL Trott (ENG),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5,,Batsman
25,RS Bopara (ENG),2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4,,AllRounder
26,BA Stokes (ENG),2011-2019,95,81,15,2682,102*,40.63,2855,93.94,3,20,5,,AllRounder
29,EC Joyce (ENG/IRE),2006-2018,78,77,8,2622,160*,38,3630,72.23,6,15,5,,Batsman
40,AD Hales (ENG),2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5,,Batsman
41,RA Smith (ENG),1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4,,Batsman
46,GP Thorpe (ENG),1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3,,Batsman
1,N Hussain (ENG),1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6,,Batsman
16,IT Botham (ENG),1976-1992,116,106,15,2113,79,23.21,2671,79.1,0,9,6,,Batsman
17,MW Gatting (ENG),1977-1993,92,88,17,2095,115*,29.5,2968,70.58,1,9,4,,Batsman
18,NH Fairbrother (ENG),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2,,Batsman
27,MP Vaughan (ENG),2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9,,Batsman
47,OA Shah (ENG),2001-2009,71,66,6,1834,107*,30.56,2331,78.67,1,12,6,,Batsman
5,MA Atherton (ENG),1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4,,Batsman
8,MM Ali (ENG),2014-2019,101,82,13,1766,128,25.59,1697,104.06,3,5,5,,AllRounder
7,BC Broad (ENG),1987-1988,34,34,0,1361,106,40.02,2447,55.61,1,11,2,,Batsman
22,MJ Prior (ENG),2004-2011,68,62,9,1282,87,24.18,1670,76.76,0,3,5,,WicketKeeper
48,CR Woakes (ENG),2011-2019,99,68,20,1186,95*,24.7,1316,90.12,0,4,6,,AllRounder
10,VS Solanki (ENG),2000-2006,51,46,5,1097,106,26.75,1504,72.93,2,5,2,,Batsman
13,G Boycott (ENG),1971-1981,36,34,4,1082,105,36.06,2020,53.56,1,9,1,,Batsman
17,DW Randall (ENG),1976-1985,49,45,5,1067,88,26.67,1702,62.69,0,5,4,,Batsman
22,C Kieswetter (ENG),2010-2013,46,40,5,1054,107,30.11,1172,89.93,1,5,4,,Batsman
21,JWA Taylor (ENG),2011-2015,27,26,5,887,101,42.23,1107,80.12,1,7,2,,Batsman
24,TT Bresnan (ENG),2006-2015,85,64,20,871,80,19.79,965,90.25,0,1,6,,AllRounder
30,GO Jones (ENG/PNG),2004-2014,51,43,8,862,80,24.62,1117,77.17,0,4,1,,Batsman
33,DL Amiss (ENG),1972-1977,18,18,0,859,137,47.72,1185,72.48,4,1,0,,Batsman
36,CWJ Athey (ENG),1980-1988,31,30,3,848,142*,31.4,1495,56.72,2,4,1,,Batsman
22,KWR Fletcher (ENG),1971-1982,24,22,3,757,131,39.84,1134,66.75,1,5,0,,Batsman
26,G Fowler (ENG),1983-1986,26,26,2,744,81*,31,1321,56.32,0,4,2,,Batsman
36,CJ Tavare (ENG),1980-1984,29,28,2,720,83*,27.69,1471,48.94,0,4,1,,Batsman
38,MA Ealham (ENG),1996-2001,64,45,4,716,45,17.46,1092,65.56,0,0,4,,Batsman
42,LJ Wright (ENG),2007-2014,50,39,4,707,52,20.2,820,86.21,0,2,5,,AllRounder
49,PAJ DeFreitas (ENG),1987-1997,103,66,23,690,67,16.04,823,83.83,0,1,4,,Batsman
15,LE Plunkett (ENG),2005-2019,89,50,19,646,56,20.83,629,102.7,0,1,3,,Batsman
39,D Gough (ENG/ICC),1994-2006,159,87,38,609,46*,12.42,947,64.3,0,0,10,,Bowler
40,AJ Hollioake (ENG),1996-1999,35,30,6,606,83*,25.25,807,75.09,0,3,1,,Batsman
43,RT Robinson (ENG),1984-1988,26,26,0,597,83,22.96,1026,58.18,0,3,2,,Batsman
46,W Larkins (ENG),1979-1991,25,24,0,591,124,24.62,1047,56.44,1,0,3,,Batsman
48,AU Rashid (ENG),2009-2019,99,43,12,588,69,18.96,574,102.43,0,1,4,,Bowler
12,C White (ENG),1994-2003,51,41,5,568,57*,15.77,928,61.2,0,1,9,,AllRounder
30,P Willey (ENG),1977-1986,26,24,1,538,64,23.39,855,62.92,0,5,3,,Batsman
34,SCJ Broad (ENG),2006-2016,121,68,25,529,45*,12.3,709,74.61,0,0,8,,Bowler
42,KM Dabengwa (ZIM),2005-2010,37,34,7,514,45,19.03,851,60.39,0,0,4,,Batsman
48,JM Brearley (ENG),1977-1980,25,24,3,510,78,24.28,1120,45.53,0,3,6,,Batsman
5,JE Emburey (ENG),1980-1993,61,45,10,501,34,14.31,664,75.45,0,0,3,,Batsman
7,GP Swann (ENG),2000-2013,79,48,12,500,34,13.88,553,90.41,0,0,3,,Bowler
13,JWM Dalrymple (ENG),2006-2007,27,26,1,487,67,19.48,672,72.47,0,2,2,,Batsman
19,SR Patel (ENG),2008-2013,36,22,7,482,70*,32.13,517,93.23,0,1,1,,AllRounder
8,DR Pringle (ENG),1982-1993,44,30,12,425,49*,23.61,616,68.99,0,0,1,,Batsman
11,RC Russell (ENG),1987-1998,40,31,7,423,50,17.62,638,66.3,0,1,0,,Batsman
25,ID Blackwell (ENG),2002-2006,34,29,2,403,82,14.92,465,86.66,0,1,6,,AllRounder
42,AF Giles (ENG),1997-2005,62,35,13,385,41,17.5,551,69.87,0,0,2,,Batsman
1,MR Ramprakash (ENG),1991-2001,18,18,4,376,51,26.85,544,69.11,0,1,0,,Batsman
3,CC Lewis (ENG),1990-1998,53,40,14,374,33,14.38,459,81.48,0,0,6,,Batsman
20,RC Irani (ENG),1996-2003,31,30,5,360,53,14.4,549,65.57,0,1,7,,Batsman
23,AD Brown (ENG),1996-2001,16,16,0,354,118,22.12,427,82.9,1,1,2,,Batsman
31,RDB Croft (ENG),1996-2001,50,36,12,345,32,14.37,519,66.47,0,0,4,,Batsman
38,CM Old (ENG),1973-1981,32,25,7,338,51*,18.77,401,84.28,0,1,4,,Batsman
1,DJ Capel (ENG),1987-1990,23,19,2,327,50*,19.23,479,68.26,0,1,0,,Batsman
2,MH Yardy (ENG),2006-2011,28,24,8,326,60*,20.37,472,69.06,0,2,1,,Batsman
10,DR Brown (ENG/SCOT),1997-2007,25,24,6,319,50*,17.72,481,66.32,0,1,3,,Batsman
15,B Wood (ENG),1972-1982,13,12,2,314,78*,31.4,647,48.53,0,2,1,,Batsman
21,BC Hollioake (ENG),1997-2002,20,17,2,309,63,20.6,381,81.1,0,2,3,,Batsman
28,CMW Read (ENG),2000-2006,36,24,7,300,30*,17.64,410,73.17,0,0,4,,WicketKeeper
30,GS Ballance (ENG),2013-2015,16,15,1,297,79,21.21,443,67.04,0,2,1,,Batsman
31,PA Nixon (ENG),2007-2007,19,18,4,297,49,21.21,347,85.59,0,0,2,,Batsman
39,JL Denly (ENG),2009-2019,13,11,0,293,67,26.63,447,65.54,0,2,0,,Batsman
45,DA Reeve (ENG),1991-1996,29,21,9,291,35,24.25,389,74.8,0,0,0,,Batsman
4,D Lloyd (ENG),1973-1980,8,8,1,285,116*,40.71,526,54.18,1,0,0,,Batsman
5,VJ Marks (ENG),1980-1988,34,24,3,285,44,13.57,434,65.66,0,0,0,,Batsman
16,DJ Willey (ENG),2015-2019,46,27,12,279,50,18.6,339,82.3,0,1,1,,AllRounder
21,JM Anderson (ENG),2002-2015,194,79,43,273,28,7.58,561,48.66,0,0,10,,Bowler
24,SW Billings (ENG),2015-2018,15,12,0,271,62,22.58,298,90.93,0,2,1,,WicketKeeper
32,AW Greig (ENG),1972-1977,22,19,3,269,48,16.81,378,71.16,0,0,1,,Batsman
37,JM Vince (ENG),2015-2019,13,11,0,265,51,24.09,299,88.62,0,1,1,,Batsman
39,MH Denness (ENG),1973-1975,12,11,2,264,66,29.33,417,63.3,0,1,1,,Batsman
15,CT Radley (ENG),1978-1978,4,4,1,250,117*,83.33,367,68.11,1,1,0,,Batsman
16,AR Caddick (ENG),1993-2003,54,38,18,249,36,12.45,395,63.03,0,0,6,,Bowler
25,AD Mascarenhas (ENG),2007-2009,20,13,2,245,52,22.27,257,95.33,0,1,2,,Batsman
26,SM Davies (ENG),2009-2011,8,8,0,244,87,30.5,231,105.62,0,1,1,,Batsman
32,PR Downton (ENG),1977-1988,28,20,5,242,44*,16.13,358,67.59,0,0,2,,Batsman
0,JP Crawley (ENG),1994-1999,13,12,1,235,73,21.36,408,57.59,0,2,2,,Batsman
5,P Mustard (ENG),2007-2008,10,10,0,233,83,23.3,252,92.46,0,1,0,,Batsman
19,JH Edrich (ENG),1971-1975,7,6,0,223,90,37.16,325,68.61,0,2,0,,Batsman
42,DL Bairstow (ENG),1979-1984,21,20,6,206,23*,14.71,390,52.82,0,0,1,,WicketKeeper
43,AR Berenger (UAE),2014-2015,10,10,0,205,66,20.5,304,67.43,0,2,0,,Batsman
46,APE Knott (ENG),1971-1977,20,14,4,200,50,20,247,80.97,0,1,2,,Batsman
38,DG Cork (ENG),1992-2002,32,21,3,180,31*,10,271,66.42,0,0,4,,Batsman
43,TK Curran (ENG),2017-2019,17,11,7,178,47*,44.5,166,107.22,0,0,2,,AllRounder
48,MD Moxon (ENG),1985-1988,8,8,0,174,70,21.75,325,53.53,0,1,1,,Batsman
49,GRJ Roope (ENG),1973-1978,8,8,0,173,44,21.62,342,50.58,0,0,1,,Batsman
9,CJ Jordan (ENG),2013-2016,31,21,7,169,38*,12.07,188,89.89,0,0,3,,Batsman
16,JE Morris (ENG),1990-1991,8,8,1,167,63*,23.85,225,74.22,0,1,0,,Batsman
18,A McGrath (ENG),2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1,,Batsman
23,MJ Lumb (ENG),2014-2014,3,3,0,165,106,55,203,81.28,1,0,0,,Batsman
29,JC Tredwell (ENG),2010-2015,45,25,11,163,30,11.64,242,67.35,0,0,3,,Batsman
49,MP Maynard (ENG),1994-2000,14,12,1,156,41,14.18,225,69.33,0,0,1,,Batsman
0,IJ Gould (ENG),1983-1983,18,14,2,155,42,12.91,243,63.78,0,0,2,,Batsman
6,CJ Richards (ENG),1981-1988,22,16,3,154,50,11.84,264,58.33,0,1,3,,Batsman
14,MW Alleyne (ENG),1999-2000,10,8,1,151,53,21.57,255,59.21,0,1,0,,Batsman
21,NA Foster (ENG),1984-1989,48,25,12,150,24,11.53,244,61.47,0,0,3,,Batsman
22,GD Barlow (ENG),1976-1977,6,6,1,149,80*,29.8,255,58.43,0,1,2,,Batsman
34,R Clarke (ENG),2003-2006,20,13,0,144,39,11.07,232,62.06,0,0,2,,Batsman
41,MB Loye (ENG),2007-2007,7,7,0,142,45,20.28,184,77.17,0,0,1,,Batsman
44,ARC Fraser (ENG),1989-1999,42,20,9,141,38*,12.81,208,67.78,0,0,1,,Bowler
49,VJ Wells (ENG),1999-1999,9,7,0,141,39,20.14,253,55.73,0,0,0,,Batsman
4,MV Fleming (ENG),1997-1998,11,10,1,139,33,15.44,137,101.45,0,0,1,,Batsman
10,RJ Bailey (ENG),1985-1990,4,4,2,137,43*,68.5,196,69.89,0,0,0,,Batsman
13,ST Finn (ENG),2011-2017,69,30,13,136,35,8,223,60.98,0,0,7,,Batsman
14,G Miller (ENG),1977-1984,25,18,2,136,46,8.5,265,51.32,0,0,3,,Batsman
26,RJ Sidebottom (ENG),2001-2010,25,18,8,133,24,13.3,194,68.55,0,0,2,,Batsman
32,RW Taylor (ENG),1973-1984,27,17,7,130,26*,13,312,41.66,0,0,2,,Batsman
38,FC Hayes (ENG),1973-1975,6,6,1,128,52,25.6,235,54.46,0,1,0,,Batsman
41,TE Jesty (ENG),1983-1983,10,10,4,127,52*,21.16,182,69.78,0,1,2,,Batsman
12,BM Duckett (ENG),2016-2016,3,3,0,123,63,41,152,80.92,0,2,1,,Batsman
24,JN Snape (ENG),2001-2002,10,7,3,118,38,29.5,173,68.2,0,0,0,,Batsman
32,PH Edmonds (ENG),1977-1987,29,18,7,116,20,10.54,232,50,0,0,3,,Batsman
38,MA Carberry (ENG),2013-2014,6,6,0,114,63,19,180,63.33,0,1,0,,Batsman
40,GR Dilley (ENG),1979-1988,36,18,8,114,31*,11.4,133,85.71,0,0,2,,Batsman
41,FM Engineer (INDIA),1974-1975,5,4,1,114,54*,38,195,58.46,0,1,0,,Batsman
44,DL Maddy (ENG),1998-2000,8,6,0,113,53,18.83,206,54.85,0,1,1,,Batsman
9,CL Smith (ENG),1984-1984,4,4,0,109,70,27.25,240,45.41,0,1,0,,Batsman
16,SJ Rhodes (ENG),1989-1995,9,8,2,107,56,17.83,150,71.33,0,1,0,,Batsman
17,G Cook (ENG),1981-1983,6,6,0,106,32,17.66,261,40.61,0,0,0,,Batsman
42,TA Lloyd (ENG),1984-1984,3,3,0,101,49,33.66,228,44.29,0,0,0,,Batsman
0,NMK Smith (ENG),1996-1996,7,6,1,100,31,20,132,75.75,0,0,0,,Batsman
6,BC Rose (ENG),1977-1977,2,2,0,99,54,49.5,210,47.14,0,1,0,,Batsman
15,GC Small (ENG),1987-1992,53,24,9,98,18*,6.53,188,52.12,0,0,6,,Batsman
22,MP Bicknell (ENG),1990-1991,7,6,2,96,31*,24,104,92.3,0,0,0,,Batsman
38,Kabir Ali (ENG),2003-2006,14,9,3,93,39*,15.5,108,86.11,0,0,2,,Batsman
43,SJ Harmison (ENG),2002-2009,58,25,14,91,18*,8.27,141,64.53,0,0,3,,Bowler
13,RM Ellison (ENG),1984-1986,14,12,4,86,24,10.75,110,78.18,0,0,0,,Batsman
16,AD Mullally (ENG),1996-2001,50,25,10,86,20,5.73,238,36.13,0,0,6,,Batsman
18,WB Rankin (ENG/IRE),2007-2019,73,32,19,86,18*,6.61,198,43.43,0,0,4,,Batsman
25,SI Mahmood (ENG),2004-2009,26,15,4,85,22*,7.72,101,84.15,0,0,3,,Batsman
26,KJ Barnett (ENG),1988-1988,1,1,0,84,84,84,146,57.53,0,1,0,,Batsman
39,RGD Willis (ENG),1973-1984,64,22,14,83,24,10.37,157,52.86,0,0,4,,Batsman
0,CJ Adams (ENG),1998-2000,5,4,0,71,42,17.75,144,49.3,0,0,0,,Batsman
9,MJ Smith (ENG),1973-1974,5,5,0,70,31,14,159,44.02,0,0,1,,Batsman
22,RK Illingworth (ENG),1991-1996,25,11,5,68,14,11.33,119,57.14,0,0,0,,Batsman
16,BT Foakes (ENG),2019-2019,1,1,1,61,61*,-,76,80.26,0,1,0,,WicketKeeper
18,JD Love (ENG),1981-1981,3,3,0,61,43,20.33,100,61,0,0,0,,Batsman
30,JA Jameson (ENG),1973-1975,3,3,0,60,28,20,158,37.97,0,0,0,,Batsman
37,RO Butcher (ENG),1980-1981,3,3,0,58,52,19.33,68,85.29,0,1,0,,Batsman
2,JK Lever (ENG),1976-1982,22,11,4,56,27*,8,152,36.84,0,0,1,,Batsman
6,MA Wood (ENG),2015-2019,51,17,10,56,13,8,63,88.88,0,0,3,,Bowler
17,RD Jackman (ENG),1974-1983,15,9,1,54,14,6.75,93,58.06,0,0,1,,Batsman
18,RWT Key (ENG),2003-2004,5,5,0,54,19,10.8,135,40,0,0,1,,Batsman
33,DL Underwood (ENG),1973-1982,26,13,4,53,17,5.88,133,39.84,0,0,2,,Batsman
43,CS Cowdrey (ENG),1985-1985,3,3,1,51,46*,25.5,46,110.86,0,0,1,,Batsman
4,J Lewis (ENG),2005-2007,13,8,2,50,17,8.33,63,79.36,0,0,0,,Batsman
7,CT Tremlett (ENG),2005-2011,15,11,4,50,19*,7.14,89,56.17,0,0,1,,Batsman
10,DB Close (ENG),1972-1972,3,3,0,49,43,16.33,50,98,0,0,0,,Batsman
23,GG Arnold (ENG),1972-1975,14,6,3,48,18*,16,75,64,0,0,1,,Batsman
24,JH Hampshire (ENG),1971-1972,3,3,1,48,25*,24,86,55.81,0,0,0,,Batsman
31,JJ Whitaker (ENG),1987-1987,2,2,1,48,44*,48,65,73.84,0,0,0,,Batsman
19,WN Slack (ENG),1986-1986,2,2,0,43,34,21.5,85,50.58,0,0,0,,Batsman
20,GB Stevenson (ENG),1980-1981,4,4,3,43,28*,43,56,76.78,0,0,0,,Batsman
30,JS Foster (ENG),2001-2002,11,6,3,41,13,13.66,71,57.74,0,0,0,,Batsman
7,GD Lloyd (ENG),1996-1998,6,5,1,39,22,9.75,80,48.75,0,0,2,,Batsman
12,A Shahzad (ENG),2010-2011,11,8,2,39,9,6.5,60,65,0,0,0,,Batsman
15,JT Ball (ENG),2016-2018,18,6,2,38,28,9.5,49,77.55,0,0,2,,Batsman
19,PJ Martin (ENG),1995-1998,20,13,7,38,6,6.33,53,71.69,0,0,0,,Batsman
32,TS Roland-Jones (ENG),2017-2017,1,1,1,37,37*,-,37,100,0,0,0,,Batsman
46,JO Troughton (ENG),2003-2003,6,5,1,36,20,9,76,47.36,0,0,1,,Batsman
7,SD Udal (ENG),1994-2005,11,7,4,35,11*,11.66,46,76.08,0,0,1,,Batsman
15,ID Austin (ENG),1998-1999,9,6,1,34,11*,6.8,49,69.38,0,0,0,,Batsman
18,BN French (ENG),1985-1988,13,8,3,34,9*,6.8,71,47.88,0,0,2,,Batsman
43,PW Jarvis (ENG),1988-1993,16,8,2,31,16*,5.16,39,79.48,0,0,2,,Batsman
7,GJ Batty (ENG),2002-2009,10,8,2,30,17,5,73,41.09,0,0,1,,Batsman
11,BL D'Oliveira (ENG),1971-1972,4,4,1,30,17,10,43,69.76,0,0,0,,Batsman
14,EE Hemmings (ENG),1982-1991,33,12,6,30,8*,5,61,49.18,0,0,1,,Batsman
8,MS Panesar (ENG),2007-2007,26,8,3,26,13,5.2,91,28.57,0,0,0,,Batsman
19,RJ Blakey (ENG),1992-1993,3,2,0,25,25,12.5,50,50,0,0,1,,Batsman
35,MR Benson (ENG),1986-1986,1,1,0,24,24,24,58,41.37,0,0,0,,Batsman
41,DJ Malan (ENG),2019-2019,1,1,0,24,24,24,30,80,0,0,0,,Batsman
18,DW Headley (ENG),1996-1999,13,6,4,22,10*,11,49,44.89,0,0,1,,Bowler
23,CM Wells (ENG),1985-1985,2,2,0,22,17,11,44,50,0,0,0,,Batsman
34,RA Woolmer (ENG),1972-1976,6,4,0,21,9,5.25,46,45.65,0,0,1,,Batsman
37,AP Igglesden (ENG),1994-1994,4,3,1,20,18,10,31,64.51,0,0,1,,Batsman
4,JW Dernbach (ENG),2011-2013,24,8,1,19,5,2.71,39,48.71,0,0,1,,Batsman
16,AG Wharf (ENG),2004-2005,13,5,3,19,9,9.5,28,67.85,0,0,1,,Batsman
18,SG Borthwick (ENG),2011-2011,2,2,0,18,15,9,16,112.5,0,0,0,,Batsman
36,SM Curran (ENG),2018-2018,2,2,0,17,15,8.5,29,58.62,0,0,0,,AllRounder
39,MJ Hoggard (ENG),2001-2006,26,6,2,17,7,4.25,30,56.66,0,0,1,,Bowler
47,P Lever (ENG),1971-1975,10,3,2,17,8*,17,24,70.83,0,0,0,,Batsman
0,CEW Silverwood (ENG),1996-2001,7,4,0,17,12,4.25,34,50,0,0,1,,Batsman
7,RL Johnson (ENG),2003-2003,10,4,1,16,10,5.33,20,80,0,0,1,,Batsman
21,PJW Allott (ENG),1982-1985,13,6,1,15,8,3,25,60,0,0,2,,Batsman
24,HF Gurney (ENG),2014-2014,10,6,4,15,6*,7.5,33,45.45,0,0,0,,Batsman
30,BW Luckhurst (ENG),1975-1975,3,3,0,15,14,5,69,21.73,0,0,1,,Batsman
38,DM Smith (ENG),1986-1990,2,2,1,15,10*,15,40,37.5,0,0,0,,Batsman
41,PCR Tufnell (ENG),1990-1997,20,10,9,15,5*,15,31,48.38,0,0,0,,Batsman
44,AP Wells (ENG),1995-1995,1,1,0,15,15,15,10,150,0,0,0,,Batsman
0,AR Butcher (ENG),1980-1980,1,1,0,14,14,14,26,53.84,0,0,0,,Batsman
1,G Chapple (ENG),2006-2006,1,1,0,14,14,14,7,200,0,0,0,,Batsman
2,LA Dawson (ENG),2016-2018,3,2,0,14,10,7,17,82.35,0,0,0,,Batsman
18,JC Archer (ENG),2019-2019,14,7,3,13,7*,3.25,22,59.09,0,0,1,,Batsman
24,NG Cowans (ENG),1983-1985,23,8,3,13,4*,2.6,29,44.82,0,0,3,,Batsman
23,GW Humpage (ENG),1981-1981,3,2,0,11,6,5.5,24,45.83,0,0,0,,Batsman
35,FJ Titmus (ENG),1975-1975,2,1,0,11,11,11,32,34.37,0,0,0,,Batsman
39,TR Ambrose (ENG),2008-2008,5,5,1,10,6,2.5,34,29.41,0,0,1,,Batsman
34,DE Malcolm (ENG),1990-1994,10,5,2,9,4,3,11,81.81,0,0,1,,Bowler
41,JA Snow (ENG),1971-1975,9,4,2,9,5*,4.5,41,21.95,0,0,0,,Batsman
42,OP Stone (ENG),2018-2018,4,1,1,9,9*,-,7,128.57,0,0,0,,Batsman
44,AJ Tudor (ENG),2002-2002,3,2,1,9,6,9,11,81.81,0,0,0,,Batsman
13,MA Lynch (ENG),1988-1988,3,3,0,8,6,2.66,32,25,0,0,1,,Batsman
25,DS Steele (ENG),1976-1976,1,1,0,8,8,8,12,66.66,0,0,0,,Batsman
1,IDK Salisbury (ENG),1993-1994,4,2,1,7,5,7,12,58.33,0,0,0,,Batsman
3,K Shuttleworth (ENG),1971-1971,1,1,0,7,7,7,19,36.84,0,0,0,,Batsman
6,RJW Topley (ENG),2015-2016,10,5,4,7,6,7,40,17.5,0,0,0,,Batsman
21,AP Grayson (ENG),2000-2001,2,2,0,6,6,3,13,46.15,0,0,1,,Batsman
24,M Hendrick (ENG),1973-1981,22,10,5,6,2*,1.2,22,27.27,0,0,3,,Batsman
38,R Illingworth (ENG),1971-1973,3,2,0,5,4,2.5,18,27.77,0,0,0,,Batsman
13,PJ Franks (ENG),2000-2000,1,1,0,4,4,4,17,23.52,0,0,0,,Batsman
25,PI Pocock (ENG),1985-1985,1,1,0,4,4,4,9,44.44,0,0,0,,Batsman
41,SL Watkin (ENG),1994-1994,4,2,0,4,4,2,23,17.39,0,0,1,,Batsman
33,JP Agnew (ENG),1985-1985,3,1,1,2,2*,-,3,66.66,0,0,0,,Batsman
3,RJ Kirtley (ENG),2001-2004,11,2,0,2,1,1,11,18.18,0,0,0,,Batsman
5,SC Meaker (ENG),2011-2011,2,2,0,2,1,1,16,12.5,0,0,0,,Batsman
31,GA Cope (ENG),1977-1978,2,1,1,1,1*,-,1,100,0,0,0,,Batsman
32,MC Cowdrey (ENG),1971-1971,1,1,0,1,1,1,5,20,0,0,0,,Batsman
40,SP Jones (ENG),2004-2005,8,1,0,1,1,1,2,50,0,0,0,,Batsman
1,W Mwayenga (ZIM),2002-2004,3,2,0,1,1,0.5,11,9.09,0,0,1,,Batsman
5,G Onions (ENG),2009-2009,4,1,0,1,1,1,2,50,0,0,0,,Batsman
15,JP Taylor (ENG),1993-1993,1,1,0,1,1,1,8,12.5,0,0,0,,Batsman
16,LB Taylor (ENG),1986-1986,2,1,1,1,1*,-,6,16.66,0,0,0,,Batsman
17,JG Thomas (ENG),1986-1987,3,3,2,1,1*,1,7,14.28,0,0,1,,Batsman
30,JE Benjamin (ENG),1994-1995,2,1,0,0,0,0,6,0,0,0,1,,Batsman
41,N Gifford (ENG),1985-1985,2,1,0,0,0,0,8,0,0,0,1,,Batsman
1,AGR Loudon (ENG),2006-2006,1,1,0,0,0,0,0,-,0,0,1,,Batsman
21,NV Radford (ENG),1988-1988,6,3,2,0,0*,0,7,0,0,0,1,,Batsman
45,ZS Ansari (ENG),2015-2015,1,-,-,-,-,-,-,-,-,-,-,,Batsman
82,JG Bethell,,,,,,,,,,,,,,
