No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,batsman_score,bowler_score
188,Shikhar Dhawan ,2010,2022,0.6080586080586081,164.0,10.0,0.5266708016746783,143,0.6683333333333333,1.0,0.0,0.0,0.0,,0.0,83,0,1.0,0.7582742646648435,0.7188009876910147,30.0
175,Virat Kohli ,2008,2023,1.0,265.0,40.0,1.0,183,0.8684848484848485,641.0,1.0,665.0,4.0,1/15,166.25,141,0,0.002962120545766921,0.8910150684340055,0.7003874915252968,2.3793721973094173
168,Rohit Sharma ,2007,2023,0.8864468864468864,236.0,34.0,0.7617460071328888,264,0.7368181818181819,593.0,2.0,515.0,8.0,2/27,64.37,87,0,0.0024390249957239487,0.7621300857153939,0.5769494097938358,4.8589261128958245
227,Shubman Gill,2019,2023,0.08424908424908424,24.0,4.0,0.10164366568460226,208,0.9931818181818182,1.0,0.0,0.0,0.0,,0.0,15,0,0.19299278669218314,1.0,0.48003856697365027,30.0
213,KL Rahul  ,2016,2023,0.19413919413919414,52.0,8.0,0.1539773608311366,112,0.6837878787878788,1.0,0.0,0.0,0.0,,0.0,32,2,0.29235978212866187,0.6991726808660448,0.4060518368768371,30.0
241,Sanju Samson,2021,2022,0.03663003663003663,10.0,5.0,0.025585362071639015,86*,1.0,1.0,0.0,0.0,0.0,,0.0,7,2,0.04857941999116738,0.6041189931350115,0.3826160984922064,30.0
233,Krunal Pandya,2021,2021,0.014652014652014652,4.0,2.0,0.01007908202822143,58*,0.9848484848484849,228.0,1.0,223.0,2.0,1/26,111.5,1,0,8.393573363705157e-05,0.5949656750572082,0.35895706886593237,1.4666666666666666
219,Shreyas Iyer,2017,2023,0.1501831501831502,38.0,3.0,0.12645371375407038,113*,0.706060606060606,37.0,0.0,39.0,0.0,,0.0,16,0,0.006489191974250123,0.7857400939419487,0.3386462326627719,30.0
177,Ravindra Jadeja,2009,2023,0.6336996336996337,118.0,41.0,0.19584431694836407,87,0.49696969696969695,8725.0,50.0,7142.0,191.0,5/36,37.39,65,0,4.261929839287621e-05,0.39188612651747273,0.30062121917430895,106.28145350351654
235,Ishan Kishan,2021,2023,0.047619047619047616,13.0,1.0,0.03954101411071484,210,0.6439393939393939,1.0,0.0,0.0,0.0,,0.0,5,2,0.07507728544089504,0.7181834184122514,0.29841663967285054,30.0
205,Kedar Jadhav,2014,2020,0.26373626373626374,52.0,19.0,0.10769111490153511,120,0.6377272727272728,1187.0,1.0,1020.0,27.0,3/23,37.77,33,0,0.0001722621693797235,0.48899841577187114,0.29355749403672404,14.47379417075058
229,Navdeep Saini,2019,2021,0.02564102564102564,5.0,3.0,0.008295859823228406,45,0.8106060606060607,420.0,0.0,481.0,6.0,2/58,80.16,3,0,3.75035926338738e-05,0.3917620137299771,0.28700546297288404,3.369640216855594
224,Rishabh Pant ,2018,2022,0.10622710622710622,26.0,1.0,0.06706466118778105,125*,0.5242424242424243,1.0,0.0,0.0,0.0,,0.0,26,1,0.12733696452230236,0.6090477028692132,0.27740061460988014,30.0
215,Hardik Pandya ,2016,2023,0.2673992673992674,55.0,7.0,0.12280973794386726,92*,0.5,2896.0,11.0,2711.0,72.0,4/24,37.65,30,0,8.051837567596804e-05,0.5272311212814645,0.260185602947959,38.97619663648125
206,Manish Pandey,2015,2021,0.10256410256410256,24.0,7.0,0.04388277252287176,104*,0.5043939393939394,1.0,0.0,0.0,0.0,,0.0,10,0,0.08332106580303254,0.43173150266971777,0.23654870192303992,30.0
231,Prithvi Shaw,2020,2021,0.018315018315018312,6.0,0.0,0.014653434641029616,49,0.4772727272727273,1.0,0.0,0.0,0.0,,0.0,2,0,0.027822758722214045,0.5766590389016019,0.21329827224429113,30.0
223,Deepak Chahar,2018,2022,0.04395604395604395,9.0,3.0,0.01573887424406885,69*,0.5125757575757576,510.0,5.0,489.0,16.0,3/27,30.56,1,0,5.8595497672055724e-05,0.41291634884312234,0.20340933398807912,9.950570342205323
220,Washington Sundar,2017,2023,0.054945054945054944,9.0,1.0,0.018064816250581484,51,0.4412121212121212,516.0,2.0,435.0,16.0,3/30,27.18,4,0,6.64728967461945e-05,0.47393846936181033,0.18978481108115483,9.46458481192335
236,Suryakumar Yadav,2021,2023,0.08058608058608059,21.0,3.0,0.03357109629399907,64,0.36439393939393944,1.0,0.0,0.0,0.0,,0.0,14,0,0.063742087442956,0.3774654026370274,0.17945162607473142,30.0
243,Deepak Hooda,2022,2022,0.03296703296703297,7.0,1.0,0.011862304233214452,33,0.38636363636363635,150.0,1.0,119.0,3.0,1/6,39.66,3,0,0.00015015457088179008,0.40013076168682576,0.16222198507550084,2.43782587309395
185,Ravichandran Ashwin,2010,2022,0.41025641025641024,63.0,20.0,0.05481469995348116,65,0.2434848484848485,6141.0,36.0,5058.0,151.0,4/25,33.49,30,0,1.694800961927795e-05,0.205441139079583,0.14832312146982898,83.56981733835894
202,Axar Patel,2014,2023,0.18315018315018317,31.0,10.0,0.03194293688944022,64*,0.2971212121212121,2415.0,18.0,1822.0,58.0,3/24,31.41,23,0,2.511414898846974e-05,0.24330109987451098,0.13977350469844022,33.525640234495526
194,Bhuvneshwar Kumar,2012,2022,0.43956043956043955,55.0,16.0,0.04279733291983253,53*,0.21439393939393941,5847.0,68.0,4951.0,141.0,5/42,35.11,29,0,1.3897745974431018e-05,0.18373205741626797,0.13735023918230432,84.93079479368595
218,Shardul Thakur,2017,2023,0.12454212454212453,21.0,6.0,0.0231043572646922,50*,0.3009090909090909,1541.0,9.0,1599.0,50.0,4/52,31.98,7,0,2.8467675766164984e-05,0.2597798844938433,0.13448813441143864,27.709642207398424
245,Ruturaj Gaikwad,2022,2022,0.0,1.0,0.0,0.0014730966041246706,19,0.2878787878787879,1.0,0.0,0.0,0.0,,0.0,0,0,0.0027969969085823642,0.34782608695652173,0.12221376843746529,30.0
230,Mayank Agarwal,2020,2020,0.014652014652014652,5.0,0.0,0.006667700418669561,32,0.2606060606060606,1.0,0.0,0.0,0.0,,0.0,2,0,0.012660091270425439,0.3148741418764302,0.11596638175693641,30.0
217,Kuldeep Yadav,2017,2023,0.29304029304029305,30.0,16.0,0.012094898433865716,19,0.1687878787878788,4234.0,20.0,3683.0,134.0,6/25,27.48,12,0,5.423905697472204e-06,0.09519450800915333,0.09248492432619908,72.05337078651685
195,Mohammed Shami,2013,2023,0.326007326007326,43.0,19.0,0.015816405644285936,25,0.12878787878787878,4506.0,45.0,4210.0,162.0,5/69,25.98,29,0,6.664650283257439e-06,0.08685008780799319,0.08387787259153787,91.1119347664937
237,Rahul Chahar,2021,2021,0.0,1.0,0.0,0.0010079082028221428,13,0.19696969696969696,60.0,0.0,54.0,3.0,3/54,18.0,0,0,3.1895578782079594e-05,0.2379862700228833,0.08314948703859848,3.078947368421052
242,Venkatesh Iyer,2022,2022,0.003663003663003663,2.0,0.0,0.00186075360521011,22,0.18181818181818182,30.0,0.0,28.0,0.0,,0.0,0,0,0.0001177682908876785,0.2196796338672769,0.07737434877250704,30.0
211,Yuzvendra Chahal,2016,2023,0.2600732600732601,14.0,5.0,0.00596991781671577,18*,0.12954545454545455,3739.0,14.0,3283.0,121.0,6/42,27.13,16,0,3.0316121952230693e-06,0.10068649885583524,0.07643284961377364,64.36647707074297
210,Jasprit Bumrah,2016,2022,0.2600732600732601,20.0,13.0,0.0036439758102031323,14*,0.10166666666666667,3807.0,43.0,2941.0,121.0,6/19,24.3,17,0,1.8174118964147915e-06,0.043020594965675056,0.0617208338094184,70.28577075098814
248,Arshdeep Singh,2022,2022,0.007326007326007325,1.0,0.0,0.0006977826019537913,9,0.13636363636363635,79.0,1.0,89.0,0.0,,0.0,0,0,1.6770800917549154e-05,0.16475972540045766,0.05829630253245524,30.2
239,Nitish Rana,2021,2021,0.0,1.0,0.0,0.0005427198015196154,7,0.10606060606060606,18.0,0.0,10.0,0.0,,0.0,0,0,5.724847473706594e-05,0.12814645308924486,0.04478281919617047,30.0
244,Avesh Khan,2022,2022,0.014652014652014652,2.0,0.0,0.0010079082028221428,10,0.09848484848484848,213.0,2.0,214.0,3.0,3/66,71.33,3,0,8.984670079459041e-06,0.11899313501144165,0.04316419273002558,2.314765657403567
225,Mohammed Siraj,2019,2023,0.08424908424908424,10.0,5.0,0.0023259420065126378,9,0.09090909090909091,1118.0,19.0,891.0,43.0,4/32,20.72,5,0,3.950188647842526e-06,0.054919908466819226,0.04177209959310774,26.68121546961326
216,Jayant Yadav,2016,2022,0.003663003663003663,2.0,1.0,0.00023259420065126375,2,0.045454545454545456,84.0,0.0,61.0,1.0,1/8,61.0,1,0,5.257512986057075e-06,0.027459954233409613,0.01680812235441429,0.9838709677419355
238,Krishnappa Gowtham,2021,2021,0.0,1.0,0.0,0.00015506280043417584,2,0.030303030303030304,48.0,0.0,49.0,1.0,1/49,49.0,1,0,6.133765150399921e-06,0.036613272311212815,0.012792535463426517,1.1
234,Prasidh Krishna,2021,2022,0.047619047619047616,5.0,3.0,0.00015506280043417584,2*,0.015151515151515152,674.0,7.0,598.0,25.0,4/12,23.92,2,0,4.368260047762556e-07,0.007322654462242563,0.010078499660193302,15.103852327447834
246,Ravi Bishnoi,2022,2022,0.0,1.0,1.0,0.0003101256008683517,4*,0.0,48.0,0.0,69.0,1.0,1/69,69.0,0,0,1.2267530300799842e-05,0.07322654462242563,0.0074032527450348514,0.9285714285714286
249,Umran Malik,2022,2023,0.02564102564102564,3.0,3.0,0.00015506280043417584,2*,0.0,330.0,2.0,355.0,13.0,3/57,27.3,1,0,8.921840218763523e-07,0.012204424103737604,0.003823533720590338,7.960070671378093
250,Kuldeep Sen,2022,2022,0.0,1.0,1.0,0.00015506280043417584,2*,0.0,30.0,0.0,37.0,2.0,2/37,18.5,0,0,9.814024240639875e-06,0.036613272311212815,0.0037025464372899856,2.5384615384615383
247,Shahbaz Ahmed,2022,2022,0.007326007326007325,1.0,0.0,0.0,0,0.0,156.0,0.0,125.0,3.0,2/32,41.66,1,0,0.0,0.0,0.0007326007326007326,2.2032348804500703
232,T. Natarajan,2020,2021,0.003663003663003663,1.0,0.0,0.0,0*,0.0,120.0,1.0,143.0,3.0,2/70,47.66,0,0,0.0,0.0,0.0003663003663003663,2.31652281134402
240,Chetan Sakariya,2021,2021,0.0,1.0,0.0,0.0,0*,0.0,48.0,0.0,34.0,2.0,2/34,17.0,2,0,0.0,0.0,0.0,2.6666666666666665
