Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref
128,Darren Lehmann,1996–2005,117.0,101.0,22.0,"3,078",119,38.96,4/17,"1,793",3.0,"1,445",52.0,4/7,27.78,0.0,26.0,0.0,[133]
129,Adam Gilchrist[114],1996–2008,286.0,278.0,11.0,"9,595",172,35.93,16/55,0,0.0,0,0.0,,,0.0,416.0,54.0,[134]
130,Andy Bichel,1997–2004,67.0,36.0,13.0,471,64,20.47,0/1,"3,257",28.0,"2,463",78.0,7/20,31.57,2.0,19.0,0.0,[135]
131,Anthony Stuart,1997,3.0,1.0,0.0,1,1,1.0,0/0,180,2.0,109,8.0,5/26,13.62,1.0,2.0,0.0,[136]
132,Adam Dale,1997–2000,30.0,12.0,8.0,78,15*,19.5,0/0,"1,596",34.0,979,32.0,3/18,30.59,0.0,11.0,0.0,[137]
133,Michael Di Venuto,1997,9.0,9.0,0.0,241,89,26.77,0/2,0,0.0,0,0.0,,,0.0,1.0,0.0,[138]
134,Matthew Elliott,1997,1.0,1.0,0.0,1,1,1.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[139]
135,Ian Harvey,1997–2004,73.0,51.0,11.0,715,48*,17.87,0/0,"3,279",29.0,"2,577",85.0,4/16,30.31,0.0,17.0,0.0,[140]
136,Paul Wilson,1997–1998,11.0,5.0,2.0,4,2,1.33,0/0,562,6.0,450,13.0,3/39,34.61,0.0,1.0,0.0,[141]
137,Jimmy Maher,1998–2003,26.0,20.0,3.0,438,95,25.76,0/1,0,0.0,0,0.0,,,0.0,18.0,0.0,[142]
138,Brad Young,1998–1999,6.0,3.0,1.0,31,18,15.5,0/0,234,0.0,251,1.0,1/26,251.0,0.0,2.0,0.0,[143]
139,Andrew Symonds,1998–2009,198.0,161.0,33.0,"5,088",156,39.75,6/30,"5,935",30.0,"4,955",133.0,5/18,37.25,1.0,82.0,0.0,[144]
140,Brett Lee,2000–2012,221.0,110.0,44.0,1176,59,17.81,0/3,"11,185",138.0,"8,877",380.0,5/22,23.36,9.0,54.0,0.0,[145]
141,Stuart MacGill,2000,3.0,2.0,1.0,1,1,1.0,0/0,180,4.0,105,6.0,4/19,17.5,0.0,2.0,0.0,[146]
142,Nathan Bracken,2001–2009,116.0,35.0,18.0,199,21*,11.7,0/0,"5,759",91.0,"4,240",174.0,5/47,24.36,2.0,26.0,0.0,[147]
143,Simon Katich,2001–2006,45.0,42.0,5.0,"1,324",107*,35.78,1/9,0,0.0,0,0.0,,,0.0,13.0,0.0,[148]
144,Brad Haddin,2001–2015,126.0,115.0,16.0,"3,122",110,31.53,2/16,0,0.0,0,0.0,,,0.0,170.0,11.0,[149]
145,Brad Williams,2002–2004,25.0,6.0,4.0,27,13*,13.5,0/0,"1,203",19.0,814,35.0,5/22,23.25,2.0,4.0,0.0,[150]
146,Ryan Campbell,2002,2.0,2.0,0.0,54,38,27.0,0/0,0,0.0,0,0.0,,,0.0,4.0,1.0,[151]
147,Nathan Hauritz,2002–2011,58.0,32.0,17.0,336,53*,22.4,0/1,"2,724",12.0,"2,152",63.0,4/29,34.15,0.0,24.0,0.0,[152]
148,Shane Watson,2002–2015,190.0,169.0,27.0,"5,757",185*,40.54,9/33,"6,466",35.0,"5,342",168.0,4/36,31.79,0.0,64.0,0.0,[153]
149,Michael Clarke,2003–2015,245.0,223.0,44.0,"7,981",130,44.58,8/58,"2,585",7.0,"2,146",57.0,5/35,37.64,1.0,106.0,0.0,[154]
150,Michael Hussey,2004–2012,185.0,157.0,44.0,"5,442",109*,48.15,3/39,240,1.0,235,2.0,1/22,117.5,0.0,105.0,0.0,[155]
151,James Hopes,2005–2010,84.0,61.0,8.0,"1,326",63*,25.01,0/3,"3,157",32.0,"2,384",67.0,5/14,35.58,1.0,25.0,0.0,[156]
152,Cameron White,2005–2018,91.0,77.0,16.0,"2,072",105,33.96,2/11,331,2.0,351,12.0,3/5,29.25,0.0,37.0,0.0,[157]
153,Stuart Clark,2005–2009,39.0,12.0,7.0,69,16*,13.8,0/0,"1,829",18.0,"1,477",53.0,4/54,27.86,0.0,10.0,0.0,[158]
154,Brad Hodge,2005–2007,25.0,21.0,2.0,575,123,30.26,1/3,66,0.0,51,1.0,1/17,51.0,0.0,16.0,0.0,[159]
155,Mick Lewis,2005–2006,7.0,1.0,1.0,4,4*,,0/0,341,1.0,391,7.0,3/56,55.85,0.0,1.0,0.0,[160]
156,Mitchell Johnson,2005–2015,153.0,91.0,32.0,951,73*,16.11,0/2,"7,489",72.0,"6,038",239.0,6/31,25.26,3.0,35.0,0.0,[161]
157,Brett Dorey,2006,4.0,1.0,0.0,2,2,2.0,0/0,162,2.0,146,2.0,1/12,73.0,0.0,0.0,0.0,[162]
158,Phil Jaques,2006–2007,6.0,6.0,0.0,125,94,20.83,0/1,0,0.0,0,0.0,,,0.0,3.0,0.0,[163]
159,Dan Cullen,2006,5.0,1.0,1.0,2,2*,,0/0,213,4.0,147,2.0,2/25,73.5,0.0,2.0,0.0,[164]
160,Mark Cosgrove,2006,3.0,3.0,0.0,112,74,37.33,0/1,30,0.0,13,1.0,1/1,13.0,0.0,0.0,0.0,[165]
161,Ben Hilfenhaus,2007–2012,25.0,11.0,8.0,29,16,9.66,0/0,"1,216",16.0,"1,075",29.0,5/33,37.06,1.0,10.0,0.0,[166]
162,Shaun Tait,2007–2011,35.0,7.0,5.0,25,11,12.5,0/0,"1,688",11.0,"1,461",62.0,4/39,23.56,0.0,8.0,0.0,[167]
163,Adam Voges,2007–2013,31.0,28.0,9.0,870,112*,45.78,1/4,301,1.0,276,6.0,1/3,46.0,0.0,7.0,0.0,[168]
164,Ashley Noffke,2008,1.0,0.0,0.0,0,,,0/0,54,0.0,46,1.0,1/46,46.0,0.0,0.0,0.0,[169]
165,Shaun Marsh,2008–2019,73.0,72.0,4.0,"2,773",151,40.77,7/15,0,0.0,0,0.0,,,0.0,22.0,0.0,[170]
166,Luke Ronchi[171],2008,4.0,2.0,0.0,76,64,38.0,0/1,0,0.0,0,0.0,,,0.0,5.0,2.0,[172]
167,David Hussey,2008–2013,69.0,61.0,6.0,"1,796",111,32.65,1/14,802,1.0,698,18.0,4/21,38.77,0.0,29.0,0.0,[173]
168,Brett Geeves,2008–2009,2.0,2.0,2.0,10,10*,,0/0,90,0.0,78,3.0,2/11,26.6,0.0,1.0,0.0,[174]
169,Ryan Harris,2009–2012,21.0,13.0,7.0,48,21,8.0,0/0,"1,031",13.0,832,44.0,5/19,18.9,3.0,6.0,0.0,[175]
170,David Warner,2009–2023,161.0,159.0,6.0,"6,932",179,45.3,22/33,6,0.0,8,0.0,,,0.0,71.0,0.0,[176]
171,Callum Ferguson,2009–2011,30.0,25.0,9.0,663,71*,41.43,0/5,0,0.0,0,0.0,,,0.0,7.0,0.0,[177]
172,Peter Siddle,2009–2019,20.0,6.0,3.0,31,10*,10.33,0/0,901,10.0,743,17.0,3/55,43.7,0.0,1.0,0.0,[178]
173,Ben Laughlin,2009–2009,5.0,1.0,1.0,1,1*,,0/0,224,1.0,219,4.0,1/28,54.75,0.0,2.0,0.0,[179]
174,Shane Harwood,2009,1.0,1.0,1.0,0,0*,,0/0,60,0.0,57,2.0,2/57,28.5,0.0,0.0,0.0,[180]
175,Doug Bollinger,2009–2011,39.0,8.0,2.0,50,30,8.33,0/0,"1,942",28.0,"1,482",62.0,5/35,23.9,2.0,12.0,0.0,[181]
176,Marcus North,2009,2.0,2.0,0.0,6,5,3.0,0/0,18,0.0,16,0.0,,,0.0,1.0,0.0,[182]
177,Dirk Nannes,2009,1.0,1.0,0.0,1,1,1.0,0/0,42,1.0,20,1.0,1/20,20.0,0.0,0.0,0.0,[183]
178,Tim Paine,2009–2018,35.0,35.0,3.0,890,111,27.81,1/5,0,0.0,0,0.0,,,0.0,51.0,4.0,[184]
179,Moises Henriques,2009–2021,16.0,15.0,2.0,117,22,9.0,0/0,402,1.0,347,8.0,3/32,43.37,0.0,6.0,0.0,[185]
180,Graham Manou,2009,4.0,1.0,0.0,7,7,7.0,0/0,0,0.0,0,0.0,,,0.0,5.0,0.0,[186]
181,Clint McKay,2009–2014,59.0,31.0,10.0,190,30,9.04,0/0,"2,965",38.0,"2,364",97.0,5/28,24.37,2.0,7.0,0.0,[187]
182,Steve Smith,2010–,170.0,154.0,20.0,"5,800",164,43.28,12/35,"1,076",1.0,971,28.0,3/16,34.67,0.0,90.0,0.0,[188]
183,Josh Hazlewood,2010–,96.0,38.0,29.0,135,23*,15.0,0/0,"4,978",65.0,"3,928",142.0,6/52,27.66,3.0,32.0,0.0,[189]
184,John Hastings,2010–2017,29.0,21.0,11.0,271,51,27.1,0/1,"1,486",7.0,"1,256",42.0,6/45,29.9,1.0,5.0,0.0,[190]
185,Mitchell Starc,2010–,130.0,77.0,27.0,583,52*,11.66,0/1,"6,638",56.0,"5,826",247.0,6/28,23.58,9.0,47.0,0.0,[191]
186,Xavier Doherty,2010–2013,60.0,23.0,16.0,101,15*,14.42,0/0,"2,792",17.0,"2,224",55.0,4/28,40.43,0.0,19.0,0.0,[192]
187,Jason Krejza,2011,8.0,2.0,1.0,13,7,13.0,0/0,425,0.0,331,7.0,2/28,47.28,0.0,2.0,0.0,[193]
188,James Pattinson,2011–2015,15.0,8.0,4.0,42,13,10.5,0/0,727,6.0,681,16.0,4/51,42.56,0.0,3.0,0.0,[194]
189,Pat Cummins,2011–,90.0,59.0,22.0,537,37,14.51,0/0,"4,683",46.0,"4,116",143.0,5/70,28.78,1.0,24.0,0.0,[195]
190,Mitchell Marsh,2011–,99.0,95.0,12.0,"3,098",177*,37.32,4/20,"2,213",9.0,"2,036",57.0,5/33,35.71,1.0,36.0,0.0,[196]
191,Dan Christian,2012–2021,20.0,18.0,5.0,273,39,21.0,0/0,727,4.0,595,20.0,5/31,29.75,1.0,10.0,0.0,[197]
192,Matthew Wade,2012–2021,97.0,83.0,12.0,"1,867",100*,26.29,1/11,0,0.0,0,0.0,,,0.0,108.0,9.0,[198]
193,Peter Forrest,2012,15.0,14.0,0.0,368,104,26.28,1/3,0,0.0,0,0.0,,,0.0,4.0,0.0,[199]
194,Nathan Lyon,2012–2019,29.0,14.0,10.0,77,30,19.25,0/0,"1,626",11.0,"1,334",29.0,4/44,46.0,0.0,7.0,0.0,[200]
195,George Bailey,2012–2016,90.0,85.0,10.0,"3,044",156,40.58,3/22,0,0.0,0,0.0,,,0.0,48.0,0.0,[201]
196,Glenn Maxwell,2012–,149.0,136.0,18.0,"3,990",201*,33.84,4/23,"4,002",14.0,"3,644",77.0,4/40,47.32,0.0,91.0,0.0,[202]
197,Aaron Finch,2013–2022,146.0,142.0,3.0,"5,406",153*,38.89,17/30,284,0.0,259,4.0,1/2,64.75,0.0,71.0,0.0,[203]
198,Phillip Hughes,2013–2014,25.0,24.0,1.0,826,138*,35.91,2/4,0,0.0,0,0.0,,,0.0,5.0,0.0,[204]
199,Usman Khawaja,2013–2019,40.0,39.0,2.0,"1,554",104,42.0,2/12,0,0.0,0,0.0,,,0.0,13.0,0.0,[205]
200,Ben Cutting,2013–2014,4.0,2.0,0.0,53,27,26.5,0/0,216,1.0,158,5.0,3/45,31.6,0.0,1.0,0.0,[206]
201,Kane Richardson,2013–2020,25.0,12.0,7.0,75,24*,15.0,0/0,"1,312",11.0,"1,240",39.0,5/68,31.79,1.0,7.0,0.0,[207]
202,James Faulkner,2013–2017,69.0,52.0,22.0,"1,032",116,34.4,1/4,"3,211",12.0,"2,962",96.0,4/32,30.85,0.0,21.0,0.0,[208]
203,Fawad Ahmed,2013,3.0,1.0,1.0,4,4*,,0/0,144,0.0,145,3.0,1/39,48.33,0.0,0.0,0.0,[209]
204,Nathan Coulter-Nile,2013–2019,32.0,21.0,6.0,252,92,16.8,0/1,"1,678",10.0,"1,555",52.0,4/48,29.9,0.0,7.0,0.0,[210]
205,Sean Abbott,2014–,29.0,21.0,2.0,374,69,19.68,0/2,"1,331",9.0,"1,271",35.0,3/23,36.31,0.0,14.0,0.0,[211]
206,Gurinder Sandhu,2015,2.0,0.0,0.0,0,,,0/0,120,0.0,107,3.0,2/49,35.67,0.0,0.0,0.0,[212]
207,Joe Burns,2015,6.0,6.0,0.0,146,69,24.33,0/1,0,0.0,0,0.0,,,0.0,2.0,0.0,[213]
208,Ashton Agar,2015–2023,21.0,17.0,4.0,274,46,21.07,0/0,"1,044",4.0,918,20.0,2/31,45.9,0.0,10.0,0.0,[214]
209,Marcus Stoinis,2015–,71.0,64.0,8.0,"1,495",146*,26.69,1/6,"2,071",5.0,"2,070",48.0,3/16,43.12,0.0,18.0,0.0,[215]
210,Scott Boland,2016,14.0,4.0,1.0,9,4,3.0,0/0,716,3.0,725,16.0,3/67,45.31,0.0,3.0,0.0,[216]
211,Joel Paris,2016,2.0,0.0,0.0,0,,,0/0,96,0.0,93,1.0,1/40,93.0,0.0,1.0,0.0,[217]
212,Adam Zampa,2016–,116.0,59.0,21.0,378,36,9.94,0/0,"6,046",17.0,"5,604",196.0,5/35,28.59,1.0,20.0,0.0,[218]
213,Travis Head,2016–,79.0,76.0,7.0,"3,007",154*,43.57,7/17,"1,203",0.0,"1,152",28.0,4/28,41.14,0.0,19.0,0.0,[219]
214,Daniel Worrall,2016,3.0,1.0,1.0,6,6*,,0/0,158,0.0,171,1.0,1/43,171.0,0.0,1.0,0.0,[220]
215,Joe Mennie,2016,2.0,2.0,0.0,1,1,0.5,0/0,120,2.0,131,3.0,3/49,43.66,0.0,0.0,0.0,[221]
216,Chris Tremain,2016,4.0,3.0,2.0,23,23*,23.0,0/0,240,0.0,255,7.0,3/64,36.42,0.0,1.0,0.0,[222]
217,Chris Lynn,2017–2018,4.0,4.0,0.0,75,44,18.75,0/0,0,0.0,0,0.0,,,0.0,3.0,0.0,[223]
218,Billy Stanlake,2017–2019,7.0,5.0,2.0,4,2,1.33,0/0,354,3.0,324,7.0,3/35,46.28,0.0,1.0,0.0,[224]
219,Peter Handscomb,2017–2019,22.0,20.0,1.0,632,117,33.26,1/4,0,0.0,0,0.0,,,0.0,14.0,0.0,[225]
220,Sam Heazlett,2017,1.0,1.0,0.0,4,4,4.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[226]
221,Hilton Cartwright,2017,2.0,2.0,0.0,2,1,1.0,0/0,0,0.0,0,0.0,,,0.0,1.0,0.0,[227]
222,Andrew Tye,2018,7.0,7.0,3.0,57,19,14.25,0/0,387,0.0,392,12.0,5/46,32.66,1.0,1.0,0.0,[228]
223,Alex Carey,2018–,85.0,77.0,13.0,"2,245",106,35.07,1/13,0,0.0,0,0.0,,,0.0,95.0,9.0,[229]
224,Jhye Richardson,2018–2022,15.0,9.0,4.0,93,29,18.6,0/0,810,11.0,793,27.0,4/26,29.37,0.0,5.0,0.0,[230]
225,Michael Neser,2018–2023,2.0,2.0,0.0,8,6,4.0,0/0,100,1.0,120,2.0,2/46,60.0,0.0,0.0,0.0,[231]
226,D'Arcy Short,2018–2020,8.0,8.0,1.0,211,69,30.14,0/1,90,0.0,114,0.0,,,0.0,2.0,0.0,[232]
227,Jason Behrendorff,2019–2022,12.0,6.0,3.0,21,11*,7.0,0/0,645,7.0,568,16.0,5/44,35.5,1.0,3.0,0.0,[233]
228,Ashton Turner,2019–,9.0,7.0,1.0,192,84*,32.0,0/1,84,1.0,60,2.0,1/23,30.0,0.0,4.0,0.0,[234]
229,Marnus Labuschagne,2020–,66.0,58.0,4.0,"1,871",124,34.64,2/12,323,1.0,358,10.0,3/39,35.8,0.0,41.0,0.0,[235]
230,Cameron Green,2020–,31.0,27.0,9.0,782,118*,43.44,1/2,814,0.0,784,20.0,5/33,39.2,1.0,21.0,0.0,[236]
231,Wes Agar,2021,2.0,2.0,0.0,50,41,25.0,0/0,66,1.0,39,0.0,,,0.0,0.0,0.0,[237]
232,Ben McDermott,2021–2023,5.0,5.0,0.0,223,104,44.6,1/1,,,,,,,,0.0,0.0,[238]
233,Josh Philippe,2021–,4.0,4.0,0.0,102,39,25.5,0/0,,,,,,,,4.0,0.0,[239]
234,Riley Meredith,2021–,1.0,1.0,1.0,0,0*,,0/0,30,0.0,36,0.0,,,0.0,0.0,0.0,[240]
235,Nathan Ellis,2022–,17.0,12.0,4.0,106,18,13.25,0/0,837,4.0,779,18.0,2/13,43.27,0.0,4.0,0.0,[241]
236,Mitchell Swepson,2022,2.0,0.0,0.0,0,,,0/0,98,0.0,103,2.0,2/53,51.5,0.0,0.0,0.0,[242]
237,Matthew Kuhnemann,2022–,5.0,2.0,0.0,16,15,8.0,0/0,252,3.0,217,8.0,2/26,27.12,0.0,2.0,0.0,[243]
238,Josh Inglis,2022–,33.0,29.0,3.0,766,120*,29.46,1/4,0,0.0,0,0.0,,,0.0,30.0,4.0,[244]
239,Aaron Hardie,2023–,15.0,12.0,0.0,180,44,15.0,0/0,426,5.0,392,10.0,2/13,39.2,0.0,6.0,0.0,[245]
240,Tim David,2023–,4.0,4.0,0.0,45,35,11.25,0/0,12,0.0,20,1.0,1/20,20.0,0.0,0.0,0.0,[246]
241,Tanveer Sangha,2023–,4.0,3.0,2.0,6,5*,6.0,0/0,174,0.0,200,2.0,1/61,100.0,0.0,0.0,0.0,[247]
242,Matthew Short,2023–,18.0,16.0,0.0,392,74,24.5,0/3,336,0.0,323,2.0,1/39,161.5,0.0,7.0,0.0,[248]
243,Spencer Johnson,2023–,5.0,3.0,2.0,12,12*,12.0,0/0,240,0.0,236,4.0,2/44,59.0,0.0,0.0,0.0,[249]
244,Xavier Bartlett,2024–,5.0,2.0,0.0,11,8,5.5,0/0,247,3.0,167,15.0,4/17,11.13,0.0,0.0,0.0,[250]
245,Lance Morris,2024–,3.0,1.0,0.0,,,,,123,3.0,96,4.0,2/13,24.0,0.0,1.0,0.0,[251]
246,Jake Fraser-McGurk,2024–,7.0,7.0,0.0,98,41,14.0,0/0,0,0.0,0,0.0,,,0.0,3.0,0.0,[252]
247,Will Sutherland,2024–,2.0,1.0,0.0,18,18,18.0,0/0,51,0.0,33,2.0,2/28,16.5,0.0,1.0,0.0,[253]
248,Ben Dwarshuis,2024–,6.0,3.0,0.0,61,33,20.33,0/0,294,1.0,270,11.0,3/47,24.54,0.0,1.0,0.0,[254]
249,Cooper Connolly,2024–,8.0,5.0,2.0,94,61*,31.33,0/1,156,0.0,137,6.0,5/22,22.83,1.0,2.0,0.0,[255]
250,Mitchell Owen,2025–,3.0,2.0,0.0,37,36,18.5,0/0,36,0.0,42,2.0,2/20,21.0,0.0,0.0,0.0,[256]
251,Matt Renshaw,2025–,3.0,3.0,1.0,107,56,53.5,0/1,0,0.0,0,0.0,,,0.0,3.0,0.0,[257]
252,Oliver Peake,2026–,,,,,,,,,,,,,,,,,
253,Liam Scott,2026–,,,,,,,,,,,,,,,,,
